nama pengguna,komentar
abdulabdul7817,"Kenapa murid sekarang tak ada buku cetak buat SD,dulu masih buku LKS,walaupun ada yang bayar dan ada pula yang gratis.tapi sekarang banyak murid tak ada buku cetak,maka anak anak sekarang malas belajar sepertinya Mentri pendidikan sengaja ,agar anak anak hanya main hp saja kerjanya ,lantaran tak ada buku buat mereka baca,dan kenapa tak ada guru mengajari tulisan Alus kasar seperti dahulu,jadi anak anak dari SD menulis ya sebisa mereka jadi tulisannya dia sendiri aja tak bisa macanya,dan sekarang anak anak tak seperti anak murid dahulu tak bisa diatur,malas dan degil degil merusak fasilitas sekolah aja kerjanya ,apa lagi sekolah negri,lantaran guru sering tak masuk,izin dan izin saja kerjanya sementara anak berkeliaran bak anak ayam ke hilangan induk,dikit dikit izin,kepala sekolah ,demamlah ,anak sakitlah padahal suaminya ada di rumah,ngantar anak kepesantrenlah,izin rewanglah,sakit perutlah,dan banyak lagi guru lebih banyak izin dari pada murid,itu kalau di sekolah negri,belum lagi ke luyuran di jam sekolah,sudah seperti murid bolos,murid murid berkeliaran lantaran guru sibuk ngerumpi di piket,maka sekolah negri di kabupaten kabupaten murid murid banyak bodoh bodoh lantaran gurunya sendiripun bodoh,IP rendah banyak guru guru kuliah di universitas di kota kabupaten yang tak kompoten."
eliyanah-zf1zp,"Alhamdulillah,terimakasih ilmunya sangat bermanfaat🙏❤"
exportkinarracing,Konsep doang  yg penting anak mandiri cerdas gitu baru benar
zaherman.9039,Ternyata kurikulum Merdeka Bule punya bukan utk org Indonesia
fauziabdurrahman9923,Komentarnya kok seragam ya. Hahahaha
ayiguek232,"Neni TRiana SP.d SD Jabar hadir dan menyimak, terima kasih ilmunya sangat bermanfaat❤❤"
susyanti2926,Hadir menyimak.
ayiguek232,"Alhamdullilah ,terima kasih ilmunya sangat bermanfaat❤❤"
user-cz7xr4zn8i,Saya kalau belajar lewat hp gak setuju karena kalau anak belajar nya lewat hp nanti anak nya bukan nya belajar yang ada malah main game karena kalau anak udah main game di hp orang tua ikut emosi juga dan kalau anak udah sakit gara gara hp orang tua juga yang repot
user-vo3xu5jc4o,"Rubiatin S,pd"
krylos4434,"Saya sebagai guru semenjak adanya kurikulum merdeka menjadi lebih semangat dalam mengajar,dan selalu berusaha menciptakan suasana belajar menyenangkan bagi siswa dalam pembelajaran,serta selalu bekolaborasi bersama siswa."
abyandhikawindychagarsaly3848,Hadir
user-yg9ru7om8h,Hutu boba 😂😂
user-yg9ru7om8h,Hutuku berdiri
rexyy1085-cq2wn,Menyala Abangkuh🔥🔥🔥
DedeKusnadi-xu4yv,Alhamdulilah sangat membantu dalam pemelajaran
DedeKusnadi-xu4yv,mantap
HelenNoryati,Terima kasih
darurattiga7533,komen isinya buzzer semua 😮
distafatma286,Sebagai guru SD adanya kurikulum Merdeka sangat sesuai untuk dipelajari dan diajarkan di tingkat SD karena pembelajaran ini bersifat kreatif inovatif dan positif yang mendukung pola pikir anak-anak untuk berkembang
MutiaraSihombing-dv1lv,terima kasih ilmunya sebmoga bermanfaat amin
sugatirahayu8357,Kurikulum pekok ora muthuk mbok wes nek Belanda PO Amerika serikat iblis asuuu celeng grp njjh angkat senjata wae rsh lewat pendidikan sek ng desa gunung kepunthal 2 gurune ora mesti guru njo SD muride okih njo dana Bose bisa nggo obral tuku paket wae rsh leptop we ora cukup disamping kui muride ora Kopen asu Po iblis yg bikin kumer ikut Amerika serikat iblis asuuu celeng Prancis Jerman awake Dewe sek penting punya imtaq yg hakiki pada Alloh SWT punya ijasah duwur Yo susah golek kerjo Krn ora due dowet sek berpangkat itu orang punya uang paham stres Krn kumer t4 q sudah byk yg mau bunuh diri Krn nggak bisa grp aplod Asu PO celeng sek gawe kumer yaalloh
user-rx9ix7im1v,Sangat bermanfaat 👍
user-rx9ix7im1v,Sangat membermaat 👍
veratheresia458,Di sekolah anak saya malah ngawur melaksanakan kurikulum merdeka ..anak anak TK B disuruh belajar duduk di lantai diatas karpet yg jarang di vakum. ..anak anak yg sudah besar badannya bukannya merasa nyaman ..malah sakit dan pegal semua badannya duduk dalam posisi seperti itu setiap hari ..bukannya di bangku dan meja seperti biasanya .  Anak anak di kelas jadi sering sakit batuk pilek demam terpapar bakteri dari lantai dan karpet yg kurang bersih .  Sampai bingung lihat sekolahnya . Waktu saya komplain. .malah bilang itu karena konsep kurikulum merdeka !!! Anehhh sekali posisi duduk dilantai waktu belajar menulis malah bikin anak kesulitan dan tak nyaman.
ratihanggraeni7836,Terimakasih
EkoSetiono-su2yc,"sejak kurikulum berubah menjadi kurikulum merdeka..adik saya gak pernah belajar, karena di kasih tugas dr sekolah"
user-il8ub3tr1r,wawat joharawati nyimak
warlis4291,"bukankah para pahlawan yg disebutkan di atas seorang guru yg telah menjadi menjadi ""PAHLAWAN NASIONAL""? Mereka adalah guru yg telah berhasil dlm dunia ""PENDDIKAN NASIONAL"" mampu menyarukan bangsa kita dari Sabang sampai Merauke dlm  bentuk BHINNEKA TUNGGAL IKA, mampu menyatukan RAS yg beraneka ragam dlm be tuk NKRI.  Tinjaulah kembali sejarah bangsa kita dlm menyusun kurikulum pendidikan. jgn metode  dipandang sbg Kurikulum.Kurikulum adalah acuan tentang materi yg akan disajikan. trmk. dari saya PEMBERHATI PENDIDIKAN.  saya pernah  seorang guru mengajar pada Raudatul Al-Quran,SLTP, SLTP, SLTA, Dosen Pengenalan & Pengembangan Kurikulum,pernah menjadi ketua Prodi jurusan pendidikan bahkan dipercayai menjadi ketua kelompok bidang pendidikan dlm jurusan pendidikan tlh banyak membimbing dan menguji mhs, bhk mhs saya adalah berpropesi sbg guru, jadi saya menarik imput dari mrk ttg masalah pendidikan dari mrk. Krn saya ketua BALITBANG pada lembaga pendidikan yg mencetak tenaga keguruan. Saya slalu menyampaikan pesan kpd mrk ""jadilah Anda menjadi pahlawan bagi generasi yg akan datang, masa depan mrk di tangan anda, jgn kecewakan mrk bersikaplah secara arif dan bijaksana, sopan dan santun adalah harga diri."
warlis4291,"yg dipaparkan pada media sosial bukanlah kurikulum pendidikan berbasis kemerdekaan ,melainkan hanya metode pembelajaran dlm ilmu pendidikan. metode pembelajaran  bukanlah kurikulum pendidikan,melainkan hanya salah satu bagian dari rangkaian proses p
embelajaran yg sedang berlangsung. Menetapkan metode dlm proses pembelajaran memang harus dipilih dg tepat,agar materi yg disajikan oleh seorang guru dapat dan cepat mencapai sasaran sesuai dg topik yg akan disajikan. Ingat dg .metode yg tepat siswa atau peserta didik akan ""terimotifasi""sihingga terciptalah suasana yg kreatif inovatif,dan kondusif dg demikian kompetensi peserta didik akan terbangun (fahami filsafat pendidikan)!. Bukankah pendahulu bangsa kita telah berhasil meletakan sendi-sendi pendidikan, spy KH.Ahmad Dahlan, KH.Dewantoro, Panglima Sudirman,Hasanuddin,Patti Mura, Cut Nyakdin, Tuanku Imam Bonjol, Dewi Sartika, RA.Kartini adalah sosok seorang pigur dlm dunia pendidikan yg tlh berhasil memerdekakan bangsa kita dr penjajahan. Hanya dg pendidikahlah bangsa kita bisa memperoleh kemerdekaan dari bangsa penjajah. Kata-kata kemerdekaan jgn dipersempit dgn membesar-besarkan kurikulum yg ber-ujung KPD proyek yg menghamburkan pemborosan ke-uangan negara. Pendidikan memang perlu kita benahi namun jgn sampai menimbulkan kebingungan publik!  Keharmonisan dlm pendidikan TDK hanya dgn peserta didik namun keharmonisan seorg guru harus tercipta bersama org tua walimurid bersama dgn masyarakat. Pendidikan tanggungjawab bersama demi masa depan peserta didik. Masa depan mrk terletak pada kita bersama.  jadi pendidikan bukanlah individualisme, melInkan masa depan bangsa dan negara. Negara kita telah diakui dunia yg menganut asas kemanusiaan yg didasarkan pada ""LIMA SILA. Lihat penjabaran Pancasila dan UUD 1945. Jgn sampai Krn masalah kurikulum kemerdekaan Panca Sila dan UUD 1945 terabaikan. Disinilah k
letak kegagalan dlm menyusun kurikulum dlm dunia pendidikan di tanah air. Rasa semangat kebangsaan TDK terbangun,semangat individualisme dikoar-koarkan. Padahal dlm menentukan kebijaksanaan kurikulum pendidikan harus terlibat kementerian yg ada dlm kabinet, spt kementerian agama,kementrian dlm negeri,kementrian aparatur negara,kementrian tenaga kerja bahkan menurut hemat saya hampir setiap kementrian yg ada dlm kabinet harus terlibat dlm penyusunan kurikulum pendidikan. Jadi .Mendiknas harus menjalin koordinasi dgn setiap Mentri dlm mengambil kebijakan dlm menentukan kurikulum pendidikan nasional. Tugas &tanggungjawab Mentri pendidikan & kebudayaan adalah bagaimana pendidikan dpt berjalan dg baik,kondusif,partisipatif &inovatif yg sesuai dg arti dan makna pendidikan & Kebudayaan. Pendidikan & Kebudayaan jgn sampai membentuk individualisme yg liberal yg pada gilirannya mengarah KPD faham ATEISME, Krn pendidikan &kebudayaan adalah aset bangsa dan negara yg harus dilindung dan terpelihara dg baik.  Wslm WrWb. ❤❤❤❤❤ pendidikan nasional."
nunungnurhayati3368,dalam perbaikan....
dieshindrawibawa3769,Dies Hindra Wibawa Wisnubrata..materi bagus
nunungnurhayati3368,something went wrong
kusmiwati1872,Kurikulum merdeka kuncinya adalah kesiapan belajar dengan pembelajaran yang menyenangkan
didisuswandi3495,Menyimak ulang..
purnamasari1581,Kenapa saya dari tadi ga ada dengar penjelasan tentang tema Diklat nya ya
nadziifahchanele6424,Maulida Zaenatun Nadziifah MI Duren Bandungan Hadir
fakhriatidrairahimati963,Dra.fakhriati ibrahim hadir
sitinuratiqotulm3816,terimakasih ilmunya...semoga bermmanfaat..aamiin
vanyasyifasafira6394,Alhamdulillah semogaa diklat hari pertama berjalan dengan lancar
user-tf3xo5gs5t,Siti nurhamidah SDN 7 Rambang hadir.
user-cu1om1zs4k,Nurhayati daila S.Pd
suryanilubis9590,Slb negeri pembina palembang.hadir
sukadanaa3s216,Sebagai guru SD saya sangat berterimakasih atas adanya diklat ini
user-zr2xe2we1x,"Kamsiyah, S. Pd Dari UPTD SDN 014656 AEK KORSIK KECAMATAN AEK LEDONG KABUPATEN ASAHAN PROVINSI SUMATERA UTARA HADIR"
user-et7yi6zf3y,Keep spirit! Belajar sepanjang hayat
user-cu1om1zs4k,Nurhayati daila S.Pd
levvitaarni4341,Kurikulum merdeka jg berbasis kearifan lokal
sitirosadah763,Konsep kurikulum merdeka ini sangat bagus diterapkan karena peserta didik dapat mengembangkan potensi diri
ifeh-12345,Hadir
sdn1kediriselatan543,"H.Muhasim,S.Pd SDN 1 Kediri Selatan hadir"
titinnuryanti7675,"Menÿimak TiTIN NURYANTI ,S.Pd,dari SDN - 2 Sei Rahayu I"
sitizulaihah1514,Alhamdulillah bisa bergabung untuk mengikuti kegiatan Diklat untuk meningkatkan pengetahuan untuk mendidik siswa
yaqdhanmara547,Hadir
JuriSantoso,Semoga ilmu yang diberikan semangat tuk kita semua
surnawati9474,surnawati.S.Pd SLBN 1 Lima Kaum Tanah DAtar
maigiwaru,Ko belum mulai min?
ernasariah417,Sebagai guru sd.saya setuju dengan kurikulum merdeka.karena peserta didik akan lebih kreatif dan inovatif.pesrta didik akan lebih mandiri.
jalu272,"Kurikulum yg sangat aneh,....tidak ada tujuan pendidikan nasional  yg jelas dan sistematis"
MusalmahSPd,"Menurut saya kurikulum merdeka sangat baik karena siswa berfikir kritis kreatif dan inovatif, siswa senang belajar didalam kls dan diluar kelas."
hermanbumiroso4587,Kurikulum merdeka menekankan pembelajaran yg berpusat pada murid yg salah satunya memahami deferensi peserta didik.. Tp apakah pengambil kebijakan memperhatikan aspek gurunya dimana guru jg mempunyai kemampuan yg berbeda2??? Guru dipaksa untuk belajar mandiri lewat PMM padahal masih banyak guru yg belum menguasai ict... Selain itu banyak guru jg yg gk bisa fokus belajar klo hny lewat video... 😊😊😊😊
ineedanameplzhelp,"Terakhir, memerdekan guru dan menjajah murid"
MuhammadSalmanalfarizi-ky2nb,Kearifan lokal tapi videonya gambar ORANG LUAR
fathurrozaq216,"bisa jadi konsepnya bagus, tetapi eksekusinya berbeda-beda"
ssnyss,"Terima kasih videonya, sangat membantu. Sedikit terganggu dengan bahasan kurikulum untuk Indonesia namun banyak ditampilkan pelajar luar negeri, yahhh tidak masalah-lah... 🙏"
shifanidiva,"https://youtu.be/aVh6W0KbNP4?feature=shared

1 ketukan jari kalian sangat bermanfaat bagi kami, terima kasih yang sudah menambahkan likenya di tugas UAS kami😇😀"
bambangwisnugroho7639,Kurikulum merdeka sangat bagus asal konsep dan kreativitas guru dan murid bisa sepadan dan satu alur pemahaman ... Tetapi kurikulum merdeka bagi guru yang tdk siap juga akan hancur muridnya karena guru akan salah cara mendidiknya ... 😀😀😀
kojacxzero,"Ditempat saya kurikulum ini bikin pusing orangtua,tiap hari tiap mapel ortu disuruh buat soal sendiri,dijawab sendiri,disekolah guru tinggal coret2 nilai... Lah anak disekolahin biar pinter ada guru disekolah, lah caranya gini kalo orangtuanya bego anaknya makin bego dong😅 #bener bener kurikulum yg bikin guru merdeka#"
cacinghidup9078,"Bagi orang tua pening, lo guru2 pada enak ya, zaman gw dlu sekolah gk perna peningin orang tua, ud tu buku nya tiap taon gonta ganti,."
ishomuddin9662,"Ya, itu adalah konsepnya, banyak permasalahan untuk menerapkannya. Lingkungan bahkan tidak mendukung keterwujudannya"
nipologi8797,makasih pidionya sudah membuat banyak ilmu trima kasih guruku sehat slalu sukses slalu. dari good morning majalengka siti maesaroh. siswa pkbm miptahul huda ayo sekolaaah
bryancoeliezt8717,diani yg komem guru smwa..gurjne pda ounya ank kecil juga g y yg pke kurikulum.ini..mumuti wing tuanya
SameSamePecintaAlam,"Anak saya sering belajar kelompok diluar jam sekolah. Katanya kurikulum merdeka. Pertanyaanya, bagaimana dgn anak2 yg sekolah dgn bus sekolah, ataupun yg antar jemput olwh orang tua....? Kenapa kegiatan ini tdk dilksanakan di sekolah...?"
misukasirna90,Hadir
arieframadhan5434,Ni yg komen pd mirip2 smua 😂
nilajuli2239,Sebagai guru.kurikulum merdeka ini dapat memberikan motivasi dan karakter siswa dalam pembelajaran
topeleven9387,Isinya buzzer semua kah ? Komenan kagak ada yang kreatif semua tinggal copas
Susilowati-yk1tg,"Asesmen awal di lakukan sebelum pembelajaran yang bertujuan untuk mengetahui tingkat kemampuan siswa dalam memahami materi. Asesmen awal dapat di lakukan dengan metode tea tertulis, observasi, dan diskusi kelompok."
solikhalikha707,"Terimakasih atas ilmunya kepada narasumber dan BED, karena telah memberikan pengetahuan Konsep Pembelajaran dalam Kurikulum Merdeka yang saat ini telah diterapkannya kurikulum merdeka. Hal ini dapat berdampak pada pembentukan karakter peserta didik. Guru dapat menjadi koordinator dan fasilitator yang mampu memberikan kontribusi yang baik untuk perkembangan peserta didik, sehingga semakin berpikir kreatif dan inovatif. Kurikulum merdeka pada dasarnya berpusat pada peserta didik sehingga peserta didik dapat menemukan sendiri  dan berkembang secara mandiri."
Marliati-fg2hx,"Kurikulum merdeka
1. Pendidikan berpusat pada peserta didik
2. Pengalaman belajar yang menyenangkan
3. Pembelajaran yang mengembangkan kreatif dan inovatif 
4. Pembelajaran yang kontekstual
5. Pembelajaran yang inklusi"
user-vm4cm4hi9w,terima kasih informasinya
binsarsijabat-13,"Saya sebagai guru SD sangat setuju kurikulum merdeka ini, karena relevan dengan kemajuan tekhnologi."
aremanadaentertainment6372,Super sekali
nasitibnu8080,"❤LBH bagus adopsi jg sebagian dr kurikulum CBSA, Masukan LG pljrn PMP dan PSPB"
WawanKurniawan-ln4yy,Akhlak yg paling utama dalam merubah sebuah generasi
NurlianaAna-vp7jf,"Sebagai guru SD sy berterimaksih untuk penerapan kurikulum merdeka. Karena dapat menghasilkan peserta didik yang mandiri, kreatif dan inovatif."
serianapanjaitan8987,"Kurikulum Merdeka Belajar adalah inovasi dalam pendidikan Indonesia yang bertujuan untuk mengembangkan potensi dan minat belajar siswa. Kurikulum ini memberikan kebebasan kepada siswa dalam memilih minat belajar mereka, mengurangi beban akademik, dan mendorong kreativitas guru. Guru dituntut untuk memiliki keterampilan baru dalam menerapkan kurikulum merdeka agar lebih efektif seperti critical thinking, problem solving, discovery learning, kolaboratif dan blended learning, mengoptimalkan potensi siswa dan membuat media belajar yang menarik. Penguasaan terhadap keterampilan ini memungkinkan guru mampu mengelola kegiatan pembelajaran secara lebih efektif. Guru diharuskan mampu untuk tetap mengikuti perkembangan teknologi, agar dapat memaksimalkan hal tersebut guru dapat mengikuti hal berikut :
1. Pelatihan dan workshop terkait teknologi pendidikan.
2. Berpartisipasi dalam komunitas pendidikan baik online maupun offline.
3. Mengikuti sumber berita teknologi pendidikan.
4. Memanfaatkan sumber daya online.
5. Eksperimen dengan aplikasi dan perangkat baru.
6. Menghadiri konferensi dan seminar.
7. Membuat jaringan dengan ahli teknologi.
8. Mengikuti program pembelajaran berkelanjutan."
harnidabakri,Hadir 0:24
syafiuddin780,Yg dri ngomen dri bwh banyak gurunya jadi curiga
SafirudinSafir-qy3my,"Alhamdulillah...Terimakasih kepada tim BED dan Nara sumber, dan admin yang mendukung pertemuan ini. 1. Pembelajaran inovatif yang menarik 2. Interaktif dalam pembelajaran 3. Pembelajaran mandiri dengan modul 4. Penyajian berbasis cerita 6. Penekanan desain"
SelfiatiSamen-xu1uq,semakin mudah mengajar dengan menjadi fasilitator yang mampu memberikan kontribusi dengan baik untuk perkembangan peserta didik yang akan semakin berpikir kreatif dan inovatif
tikaramayanti5904,"Saya sebagai seorang pendidik SD, kurikulum merdeka ini sangat membantu dalam membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa, dan melatih siswa untuk menjadi kreatif dan inovatif. Terimakasih admin Belajar Era Digital"
MahmudahMahmudah-nt2ju,Terima kash tim untuk materi malam hari ini kegiatan p5 itu saling mendukung antar elemen yg ada di sekolah
sitiistiqomah1647,Bukankah tujuan kirikulum dari dulu juga begitu
noviantisandradewi8258,"Konsep dalam kurikulum merdeka diharapkan dapat membentuk generasi yang berkualaitas dan dpat mengjadapi tantangan dimasa depan. Dengan konsep yang kreatif dan inovatif serta pembelajaran contextual dan inklusif, kurikulum merdeka memiliki konsep yang memuat nilai nilai budaya dan kearifan lokal. Sehingga siswa dapat menerapkan nya dalam kehidupan peserta didalam lingkungannya."
susisutarni8247,Penerapan pembelajaran kurikulum merdeka dsekolah yang membedakannya ada p5 dimana siswa diharapkan mempunyai keahlian dan bisa memberdayakan lingkungan sekitar dengan prinsip2 pancasila
FaujiahFaujiah-ro4dz,"potensi diri, pemberdayaan diri, peningkatan diri, pemahaman diri, dan peran sosial."
jonsonadinadin3061,"Saya adalah guru pada SDN 2 Napu Sahur,baru tahun pelajaran baru 2033/2024, pelaksanaan pembelajaran kurikulum merdeka, merdeka berubah, terimakasih atas video yang ditampilkan, sangat bermanfaat sekali bagi kami khususnya sekolah yang baru melaksanakan IKM 🙏🙏"
panjifahrezi8514,Kurikulumnya merdeka muridnya sengsara
ojolali381,Yg komen sama semua.😅😅😅😅 dia2 juga 1 tim
baqwanz,Saya sebagai manusia hanya bisa berdo'a semoga  teman/rekan/adik2 saya sukses dunia-akhirat
setiana_edukasi,Terimakasih
tuminitumini6826,"Dalam pemahaman konsep pembelajaran kurikul merdeka sangat memberikan inovasi dan kreatifitas yang memberikan keraifan lokal terbaru bagi siswa dan menciptakan suasana yang menyenangkan. 
Kurikulum sangat cocok di terapkan sesuai kondisi sekolah masing masing."
lamigame,Komentarnya seragam😂
masslamet1777,"Saya sebagai seorang guru SD sangat berterima kasih karena melalui platihan pembelajaran kurikulum merdeka ini. di terapkan dalam membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa dan melatih siswa untuk menjadi kreatif dan inovatif"
budiutomo5628,"Sebagai orang tua, kurikulum merdeka lebih mirip kurikulum di awang-awang
kurikulum yang ga linear antar jenjang. Kurikuum yang hanya bagus pada tataran konsep saja"
hernysiwi4014,Sangat baik untuk diterapkan di SD
bondodonyo4615,Jam pembelajaran indonesia tidak produktif...terlalu panjang. Haruse jam 8-12 sudah cukup utk anak sd-smp
jaerbento9021,Apakah yg komen guru penggerak semua
WahyuniWahyuni-nr5on,"kurikulum merdeka merupakan konsep yang relevan untuk diterapkan dalam membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa, dan melatih siswa untuk menjadi kreatif dan inovatif."
user-tt5qs7zf5k,Sebagai guru SDN saya sangat berterima dengan penerapan kurikulum merdeka belajar ini yang mana sangat membantu membetuk karakter suswa
walispd6971,Kurikulum merdeka bertujuan memperbaiki pendidikan di Indonesia.. peserta didik deberikan kesempatan untuk mengembankan minatnya. Guru jadi padilitator  dan memberikan pembelajaran yg menyenangkakn
iiskartikah3711,"Sebagai guru yang mengabdi di sekolah dasar,saya sangat bersyukur dan berterima kasih dengan penerapan kurikulum merdeka belajar ini karena berdampak positif bagi pembentukan karakter siswa dimulai dari sekolah dasar,guru juga semakin mudah mengajar dengan menjadi fasilitator yang mampu memberikan kontribusi dengan baik untuk perkembangan peserta didik yang akan semakin berpikir kreatif dan inovatif."
EllaRohela-wo5yy,"Saya sebagai guru yang mengabdi di sekolah menengah pertama, saya sangat bersyukur dengan ditetapkanya kurikulum mardeka, karna kurikulum mardeka ini sangat membantu dalam membentuk karakter yang baik untuk peserta didik dan memberikan pendidikan yang berpusat pada siswa."
hanifahaddanury3155,"Tksh ilmunya,jazaakallaahu khairaa wa baarakallaahu fiik."
iqbalbeter6138,"kata kata Absurd, dati KBK, KTSP, K13, kata kata ini selalu digaung gaungkan, tetapi penerapannya nanti ERRRRROOOOORRRRRT"
philipwolantery6093,"Menurut saya,,,, prinsip2 pada kurikulum merdeka sama dengan kurikulum sebelumnya. Jdi, bukan hal yg baru di dunia pendidikan. Masalahnya pada guru. Sejauh mna keseriusan guru dlm menerapkan pada proses KBM. Jdi, yg harus  diubah adalah cara mengajar guru bukan pergantian istilah dalam kurikulum yg terjadi terus - menerus yg pada prinsipnya sama saja. Pemahaman tentang kurikulum mnjadi hal yg sangat penting bgi setiap guru. Proses pengawasan di dunia pendidikan dri pusat sampai daerah2 juga sangat penting agar tujuan dri kurikulum itu dapat tercapai. Yg terjadi adalah guru blm memahami kurikulum dgn baik sudah ada lagi kurikulum yg baru. Untuk itu semoga benar2 dapat diterima dan dipahami dgn  agar  dapat dilaksanakan dengan segala baik demi masa depan bangsaa yg lebih baik."
Masrofah1982-pt4jd,"Prinsip2 pembelajaran kurmer
1.pendidikan berrpusat pada peserta didik
2.pengalaman belajar yg menyenangkan
3.mengembangkan kreativitas dan inovasi
4.pembelajaran yg kontekstual
5.pembelajaran yg inklusif."
TitikDwijayanti-bp3ei,"Sebagai pendidik di sd, konsep kurikulum merdeka ini merupakan konsep yang  cocok di terapkan karena akan berdampak positif pada kemajuan pengetahuan dan keterampilan. Konsepnya luar biasa karena pembelajaran berpusat pada siswa dan pembelajarannya diarahkan sesuai kebutuhan peserta didik, menyenangkan dan menarik bagi siswa."
auliakhoerunissa-dj3kv,"Saya sebagai seorang guru SMP, kurikulum merdeka ini sangat membantu dalam membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa, dan melatih siswa untuk menjadi kreatif dan inovatif. Terimakasih Belajar Era Digital 🙏"
DewiLestari-hi8lg,"perangkat ajar dalam kurikulum merdeka adalah modul ajar, modul project, penguatan profil pancasila  atau P5 dan vidio pembelajaran."
samsuripati7902,"Konsep pembelajaran kurikulum merdeka, berpusat pada peserta didik, pembelajaran yang menarik dan interaktif dengan tidak meninggalkan kebudayaan lokal, terimakasih ilmunya."
susilawati606,"Konsep pembelajaran dalam kurikulum merdeka berpusat pada peserta didik, beberapa prinsif dalam pembelajaran kurikulum merdeka antara lain:
1.pendidikan berpusat pada peserta didik
2. Pengalaman belajar yang menyenangkan
3Mengembangkan kreativitas dan inovatif
4. Pembelajaran yang kontekstual
5. Pembelajaran yang inkluinsif
Dengan konsep pembelajaran yang berpusat pada peserta didik kurikulum merdeka dihadapkan dapat menghasilkan generasi yang lebih berkualitas dan mampu menghadapi tantangan di masa depan.."
yeninuraeni1954,"Saya seorang guru di SD, menurut saya kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di semua sekolah.Karena akan berdampak positif pada kemajuan pengetahuan, dan minat bakat siswa.Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru  menjadi berpusat pada siswa,dan pembelajaran di arahkan sesuai dengan kebutuhan peserta didik dan tetap"
daimwibowo3077,"Sebagai seorang guru, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak anak kita. Konsepnya luar biasa karena pembelajaranya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran di arahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan  dan menarik bagi siswa.



Balas"
olansalim4410,"Sebagai tenaga pendidik,, konsep kurikulum merdeka belajar ini sangat cocok diterapkan dan dapat membentuk karakter peserta didik."
